Median_House_Value;Median_Income;Median_Age;Tot_Rooms;Tot_Bedrooms;Population;Households;Latitude;Longitude;Distance_to_coast;Distance_to_LA;Distance_to_SanDiego;Distance_to_SanJose;Distance_to_SanFrancisco;OcPrx_<1H OCEAN;OcPrx_INLAND;OcPrx_ISLAND;OcPrx_NEAR BAY;OcPrx_NEAR OCEAN
107500;2.4038;41;535.0;123;317;119;37.85;-122.28;6781.863175;556949.9579;735808.1668;66600.75904;15751.79397;0;0;0;1;0
93800;2.4597;49;1130.0;244;607;239;37.85;-122.28;6781.863175;556949.9579;735808.1668;66600.75904;15751.79397;0;0;0;1;0
105500;1.808;52;1898.0;421;1102;397;37.85;-122.28;6781.863175;556949.9579;735808.1668;66600.75904;15751.79397;0;0;0;1;0
108900;1.6424;50;2082.0;492;1131;473;37.84;-122.28;5698.726903;556122.9501;734964.8786;65649.2259;15184.81839;0;0;0;1;0
132000;1.6875;52;729.0;160;395;155;37.84;-122.28;5698.726903;556122.9501;734964.8786;65649.2259;15184.81839;0;0;0;1;0
122300;1.9274;49;1916.0;447;863;378;37.84;-122.28;5698.726903;556122.9501;734964.8786;65649.2259;15184.81839;0;0;0;1;0
115200;1.9615;52;2153.0;481;1168;441;37.84;-122.28;5698.726903;556122.9501;734964.8786;65649.2259;15184.81839;0;0;0;1;0
110400;1.7969;48;1922.0;409;1026;335;37.84;-122.27;5976.288058;555535.9314;734392.515;65195.93619;15959.48366;0;0;0;1;0
104900;1.375;49;1655.0;366;754;329;37.83;-122.27;4967.005194;554708.9644;733549.2069;64242.77921;15480.34052;0;0;0;1;0
109700;2.7303;51;2665.0;574;1258;536;37.83;-122.27;4967.005194;554708.9644;733549.2069;64242.77921;15480.34052;0;0;0;1;0
97200;1.4861;49;1215.0;282;570;264;37.83;-122.27;4967.005194;554708.9644;733549.2069;64242.77921;15480.34052;0;0;0;1;0
104500;1.0972;48;1798.0;432;987;374;37.83;-122.27;4967.005194;554708.9644;733549.2069;64242.77921;15480.34052;0;0;0;1;0
103900;1.4103;52;1511.0;390;901;403;37.83;-122.28;4629.273249;555296.9346;734122.3028;64702.80872;14680.30193;0;0;0;1;0
191400;3.48;52;1470.0;330;689;309;37.83;-122.26;5427.301746;554121.8302;732976.7839;63791.60491;16288.47612;0;0;0;1;0
176000;2.5898;52;2432.0;715;1377;696;37.83;-122.26;5427.301746;554121.8302;732976.7839;63791.60491;16288.47612;0;0;0;1;0
155400;2.0978;52;1665.0;419;946;395;37.83;-122.26;5427.301746;554121.8302;732976.7839;63791.60491;16288.47612;0;0;0;1;0
150000;1.2852;51;936.0;311;517;249;37.83;-122.26;5427.301746;554121.8302;732976.7839;63791.60491;16288.47612;0;0;0;1;0
118800;1.025;49;713.0;202;462;189;37.84;-122.26;6363.948013;554949.7495;733820.8244;64751.46386;16744.40658;0;0;0;1;0
188800;3.9643;52;950.0;202;467;198;37.84;-122.26;6363.948013;554949.7495;733820.8244;64751.46386;16744.40658;0;0;0;1;0
184400;3.0125;52;1443.0;311;660;292;37.83;-122.26;5427.301746;554121.8302;732976.7839;63791.60491;16288.47612;0;0;0;1;0
182300;2.6768;52;1656.0;420;718;382;37.83;-122.26;5427.301746;554121.8302;732976.7839;63791.60491;16288.47612;0;0;0;1;0
142500;2.026;50;1125.0;322;616;304;37.83;-122.26;5427.301746;554121.8302;732976.7839;63791.60491;16288.47612;0;0;0;1;0
137500;1.7348;43;1007.0;312;558;253;37.82;-122.27;4012.371429;553882.9924;732706.6126;63294.80315;15068.16595;0;0;0;1;0
187500;0.9506;40;624.0;195;423;160;37.82;-122.26;4569.927385;553294.9042;732133.456;62836.7606;15897.37759;0;0;0;1;0
112500;1.775;40;946.0;375;700;352;37.82;-122.27;4012.371429;553882.9924;732706.6126;63294.80315;15068.16595;0;0;0;1;0
171900;0.9218;21;896.0;453;735;438;37.82;-122.27;4012.371429;553882.9924;732706.6126;63294.80315;15068.16595;0;0;0;1;0
93800;1.5045;43;1868.0;456;1061;407;37.82;-122.27;4012.371429;553882.9924;732706.6126;63294.80315;15068.16595;0;0;0;1;0
97500;1.1108;41;3221.0;853;1959;720;37.82;-122.27;4012.371429;553882.9924;732706.6126;63294.80315;15068.16595;0;0;0;1;0
104200;1.2475;52;1630.0;456;1162;400;37.82;-122.27;4012.371429;553882.9924;732706.6126;63294.80315;15068.16595;0;0;0;1;0
87500;1.6098;52;1170.0;235;701;233;37.82;-122.28;3585.765695;554471.9161;733280.4418;63761.73532;14244.88253;0;0;0;1;0
83100;1.4113;52;945.0;243;576;220;37.82;-122.28;3585.765695;554471.9161;733280.4418;63761.73532;14244.88253;0;0;0;1;0
87500;1.5057;52;1238.0;288;622;259;37.82;-122.28;3585.765695;554471.9161;733280.4418;63761.73532;14244.88253;0;0;0;1;0
85300;0.8172;52;1489.0;335;728;244;37.82;-122.28;3585.765695;554471.9161;733280.4418;63761.73532;14244.88253;0;0;0;1;0
80300;1.2171;52;1387.0;341;1074;304;37.82;-122.28;3585.765695;554471.9161;733280.4418;63761.73532;14244.88253;0;0;0;1;0
60000;2.5625;2;158.0;43;94;57;37.82;-122.29;3340.660078;555061.6726;733854.9421;64237.36326;13428.61774;0;0;0;1;0
75700;3.3929;52;1121.0;211;554;187;37.83;-122.29;4442.149809;555885.7384;734696.07;65171.50593;13889.75955;0;0;0;1;0
75000;6.1183;49;135.0;29;86;23;37.82;-122.29;3340.660078;555061.6726;733854.9421;64237.36326;13428.61774;0;0;0;1;0
86100;0.9011;50;760.0;190;377;122;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
76100;1.191;52;1224.0;237;521;159;37.81;-122.3;2214.986056;554830.1506;733590.4364;63800.21053;12212.91436;0;0;0;1;0
73500;2.5938;48;828.0;182;392;133;37.81;-122.3;2214.986056;554830.1506;733590.4364;63800.21053;12212.91436;0;0;0;1;0
78400;1.1667;52;1010.0;209;604;187;37.81;-122.3;2214.986056;554830.1506;733590.4364;63800.21053;12212.91436;0;0;0;1;0
84400;0.8056;48;1455.0;354;788;332;37.81;-122.3;2214.986056;554830.1506;733590.4364;63800.21053;12212.91436;0;0;0;1;0
81300;2.6094;52;1027.0;244;492;147;37.8;-122.29;1197.174355;553416.5548;732174.844;62386.57432;12749.55139;0;0;0;1;0
85000;1.8516;52;572.0;109;274;82;37.81;-122.3;2214.986056;554830.1506;733590.4364;63800.21053;12212.91436;0;0;0;1;0
129200;0.9802;46;2801.0;644;1823;611;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
82500;1.7719;26;768.0;152;392;127;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
95200;0.7286;46;935.0;297;582;277;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
75000;1.75;49;844.0;204;560;152;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
67500;0.4999;46;12.0;4;18;7;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
137500;2.483;20;835.0;161;290;133;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
177500;0.9241;17;1237.0;462;762;439;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
102100;2.4464;36;2914.0;562;1236;509;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
108300;1.1111;19;1207.0;243;721;207;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
112500;0.8026;23;1745.0;374;1054;325;37.81;-122.29;2249.485926;554238.6099;733014.5326;63308.9672;13046.18672;0;0;0;1;0
131300;2.0114;38;684.0;176;344;155;37.8;-122.28;1769.573998;552824.8873;731598.8741;61896.5934;13606.83953;0;0;0;1;0
162500;1.5;17;924.0;289;609;289;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
112500;1.1667;52;210.0;56;183;56;37.81;-122.27;3162.273012;553058.0199;731864.7344;62352.24431;14728.58329;0;0;0;1;0
112500;1.5208;52;340.0;97;200;87;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
137500;0.8075;52;386.0;164;346;155;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
118800;1.8088;35;948.0;184;467;169;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
98200;2.4083;52;773.0;143;377;115;37.81;-122.28;2599.638961;553647.8988;732439.2981;62826.24581;13885.06215;0;0;0;1;0
118800;0.977;40;880.0;451;582;380;37.81;-122.27;3162.273012;553058.0199;731864.7344;62352.24431;14728.58329;0;0;0;1;0
162500;0.76;10;875.0;348;546;330;37.81;-122.27;3162.273012;553058.0199;731864.7344;62352.24431;14728.58329;0;0;0;1;0
137500;0.9722;10;105.0;42;125;39;37.8;-122.27;2524.614616;552234.0515;731023.5749;61415.35211;14466.70538;0;0;0;1;0
162500;2.0938;16;994.0;392;800;362;37.8;-122.27;2524.614616;552234.0515;731023.5749;61415.35211;14466.70538;0;0;0;1;0
137500;0.8668;52;215.0;87;904;88;37.8;-122.28;1769.573998;552824.8873;731598.8741;61896.5934;13606.83953;0;0;0;1;0
162500;0.75;52;96.0;31;191;34;37.8;-122.28;1769.573998;552824.8873;731598.8741;61896.5934;13606.83953;0;0;0;1;0
187500;2.6354;27;1055.0;347;718;302;37.79;-122.27;2284.786543;551411.0916;730183.1365;60484.38988;14286.80586;0;0;0;1;0
179200;1.8477;39;1715.0;623;1327;467;37.8;-122.27;2524.614616;552234.0515;731023.5749;61415.35211;14466.70538;0;0;0;1;0
130000;2.0096;36;5329.0;2477;3469;2323;37.8;-122.26;3340.671619;551644.05;730448.9479;60943.05749;15328.71514;0;0;0;1;0
183800;2.8345;31;4596.0;1331;2048;1180;37.82;-122.26;4569.927385;553294.9042;732133.456;62836.7606;15897.37759;0;0;0;1;0
125000;2.0062;29;335.0;107;202;91;37.81;-122.26;3845.221777;552468.976;731290.8432;61887.16304;15575.99538;0;0;0;1;0
170000;1.2185;22;3682.0;1270;2024;1250;37.82;-122.26;4569.927385;553294.9042;732133.456;62836.7606;15897.37759;0;0;0;1;0
193100;2.6104;37;3633.0;1085;1838;980;37.82;-122.26;4569.927385;553294.9042;732133.456;62836.7606;15897.37759;0;0;0;1;0
257800;2.4912;29;4656.0;1414;2304;1250;37.81;-122.25;4595.14988;551880.7697;730717.626;61431.20462;16426.69626;0;0;0;1;0
273400;3.2177;28;5806.0;1603;2563;1497;37.81;-122.25;4595.14988;551880.7697;730717.626;61431.20462;16426.69626;0;0;0;1;0
237500;3.125;39;854.0;242;389;228;37.81;-122.25;4595.14988;551880.7697;730717.626;61431.20462;16426.69626;0;0;0;1;0
350000;2.5795;52;2155.0;701;895;613;37.81;-122.25;4595.14988;551880.7697;730717.626;61431.20462;16426.69626;0;0;0;1;0
335700;2.8406;34;5871.0;1914;2689;1789;37.81;-122.26;3845.221777;552468.976;731290.8432;61887.16304;15575.99538;0;0;0;1;0
313400;4.9306;52;1509.0;225;674;244;37.82;-122.24;5923.307236;552121.2452;730989.1673;61948.12934;17570.22252;0;0;0;1;0
268500;3.2727;52;2026.0;482;709;456;37.81;-122.24;5384.142107;551293.4037;730145.0844;60984.57369;17280.2002;0;0;0;1;0
259400;3.1691;52;1758.0;460;686;422;37.81;-122.25;4595.14988;551880.7697;730717.626;61431.20462;16426.69626;0;0;0;1;0
275700;3.9;52;3481.0;751;1444;718;37.82;-122.24;5923.307236;552121.2452;730989.1673;61948.12934;17570.22252;0;0;0;1;0
225000;3.9063;28;3337.0;855;1520;802;37.82;-122.25;5216.612985;552707.6543;731560.9737;62387.80348;16731.63608;0;0;0;1;0
262500;5.0917;52;1424.0;289;550;253;37.82;-122.25;5216.612985;552707.6543;731560.9737;62387.80348;16731.63608;0;0;0;1;0
218500;2.6429;32;3809.0;1098;1806;1022;37.82;-122.25;5216.612985;552707.6543;731560.9737;62387.80348;16731.63608;0;0;0;1;0
255000;3.0233;26;3959.0;1196;1749;1217;37.82;-122.25;5216.612985;552707.6543;731560.9737;62387.80348;16731.63608;0;0;0;1;0
224100;3.1484;52;2376.0;559;939;519;37.83;-122.25;5981.936281;553535.5349;732405.0354;63349.47504;17103.561;0;0;0;1;0
243100;3.4722;35;1613.0;428;675;422;37.83;-122.25;5981.936281;553535.5349;732405.0354;63349.47504;17103.561;0;0;0;1;0
231600;3.1429;52;1279.0;287;534;291;37.83;-122.25;5981.936281;553535.5349;732405.0354;63349.47504;17103.561;0;0;0;1;0
218500;2.4234;28;5022.0;1750;2558;1661;37.83;-122.25;5981.936281;553535.5349;732405.0354;63349.47504;17103.561;0;0;0;1;0
234100;3.0897;52;4190.0;1105;1786;1037;37.83;-122.25;5981.936281;553535.5349;732405.0354;63349.47504;17103.561;0;0;0;1;0
327600;5.8596;50;2515.0;399;970;373;37.84;-122.23;8006.933746;553196.2505;732109.8073;63472.78528;19148.02847;0;0;0;1;0
347600;5.2868;47;3175.0;454;1098;485;37.84;-122.23;8006.933746;553196.2505;732109.8073;63472.78528;19148.02847;0;0;0;1;0
366100;5.956;41;2576.0;406;794;376;37.83;-122.24;6607.194021;552950.0809;731833.963;62916.58027;17924.64718;0;0;0;1;0
335000;4.9643;37;334.0;54;98;47;37.85;-122.24;8259.085109;554610.7171;733525.6829;64867.28983;18811.48745;0;0;0;1;0
373600;6.3434;52;2800.0;411;1061;403;37.85;-122.23;8810.498285;554028.0133;732956.7532;64456.75042;19600.22597;0;0;0;1;0
389500;5.1773;52;3529.0;574;1177;555;37.84;-122.24;7395.763579;553779.9064;732679.469;63889.70386;18339.74073;0;0;0;1;0
391100;7.2354;52;2612.0;365;901;367;37.85;-122.24;8259.085109;554610.7171;733525.6829;64867.28983;18811.48745;0;0;0;1;0
337300;5.457;28;5287.0;1048;2031;956;37.85;-122.22;9411.713364;553446.1574;732388.5031;64055.69916;20396.30039;0;0;0;1;0
295200;7.5;50;2935.0;473;1031;479;37.84;-122.22;8664.175753;552613.442;731540.8251;63065.42182;19962.25241;0;0;0;1;0
292300;6.0194;44;3424.0;597;1358;597;37.84;-122.21;9357.78709;552031.4835;730972.5239;62667.79981;20781.71483;0;0;0;1;0
411500;7.5544;40;4991.0;674;1616;654;37.83;-122.21;8748.161389;551198.7947;730124.8179;61675.23053;20416.64768;0;0;0;1;0
311500;6.0666;30;2211.0;346;844;343;37.84;-122.2;10080.26295;551450.3778;730404.9053;62280.10584;21605.81966;0;0;0;1;0
325900;7.0548;34;3038.0;490;1140;496;37.84;-122.21;9357.78709;552031.4835;730972.5239;62667.79981;20781.71483;0;0;0;1;0
319300;7.4882;35;2865.0;460;1072;443;37.84;-122.2;10080.26295;551450.3778;730404.9053;62280.10584;21605.81966;0;0;0;1;0
333300;6.8976;34;5065.0;788;1627;766;37.83;-122.21;8748.161389;551198.7947;730124.8179;61675.23053;20416.64768;0;0;0;1;0
368900;6.8538;29;1791.0;271;661;269;37.83;-122.19;10303.62416;550035.5272;728988.7974;60897.37954;22096.52335;0;0;0;1;0
366700;7.0175;37;1229.0;181;420;176;37.82;-122.2;9056.084428;549784.0716;728708.7317;60286.26047;20957.41936;0;0;0;1;0
362800;6.3302;39;3770.0;534;1265;500;37.82;-122.2;9056.084428;549784.0716;728708.7317;60286.26047;20957.41936;0;0;0;1;0
331400;7.0549;52;2375.0;333;813;350;37.82;-122.21;8244.10925;550367.0902;729277.8189;60686.80116;20106.52104;0;0;0;1;0
323500;6.7851;45;2964.0;436;1067;426;37.81;-122.2;8713.348297;548952.3966;727861.7061;59295.47438;20715.30107;0;0;0;1;0
216700;2.8929;50;2833.0;605;1260;552;37.8;-122.21;7632.426885;548706.6518;727585.9515;58723.19748;19661.03059;0;0;0;1;0
233100;3.0812;38;2254.0;535;951;487;37.8;-122.21;7632.426885;548706.6518;727585.9515;58723.19748;19661.03059;0;0;0;1;0
296400;5.2402;52;1389.0;212;510;224;37.81;-122.21;7865.952463;549536.3744;728431.5293;59702.71732;19853.90966;0;0;0;1;0
273700;6.5217;52;1971.0;335;765;308;37.81;-122.22;7026.228662;550121.2033;729002.0344;60120.12146;18994.10458;0;0;0;1;0
227700;3.2632;52;2183.0;465;1129;460;37.8;-122.22;6763.647537;549292.4412;728157.1936;59147.57154;18792.28251;0;0;0;1;0
199600;3.0298;52;2286.0;464;1073;441;37.8;-122.22;6763.647537;549292.4412;728157.1936;59147.57154;18792.28251;0;0;0;1;0
239800;4.5428;52;2721.0;541;1185;515;37.8;-122.22;6763.647537;549292.4412;728157.1936;59147.57154;18792.28251;0;0;0;1;0
270100;4.072;52;2024.0;339;756;340;37.81;-122.22;7026.228662;550121.2033;729002.0344;60120.12146;18994.10458;0;0;0;1;0
302100;5.3509;52;2944.0;536;1034;521;37.81;-122.22;7026.228662;550121.2033;729002.0344;60120.12146;18994.10458;0;0;0;1;0
269500;3.1603;52;2033.0;486;787;459;37.8;-122.23;5897.79929;549879.0785;728729.1159;59581.96122;17924.51112;0;0;0;1;0
314700;4.7708;52;1433.0;229;612;213;37.81;-122.23;6197.296335;550706.8807;729573.22;60547.47665;18136.11145;0;0;0;1;0
352400;6.8591;52;2485.0;313;953;327;37.81;-122.24;5384.142107;551293.4037;730145.0844;60984.57369;17280.2002;0;0;0;1;0
287300;6.0302;52;1490.0;238;634;256;37.81;-122.24;5384.142107;551293.4037;730145.0844;60984.57369;17280.2002;0;0;0;1;0
348700;7.508;52;2814.0;365;878;352;37.81;-122.23;6197.296335;550706.8807;729573.22;60547.47665;18136.11145;0;0;0;1;0
243800;2.7477;52;2093.0;550;918;483;37.81;-122.24;5384.142107;551293.4037;730145.0844;60984.57369;17280.2002;0;0;0;1;0
211500;2.1944;52;888.0;168;360;175;37.8;-122.24;5036.394117;550466.5608;729301.7168;60026.14905;17057.8655;0;0;0;1;0
218400;3.0149;52;2087.0;510;1197;488;37.8;-122.25;4182.178356;551054.8856;729874.9946;60479.91916;16192.52641;0;0;0;1;0
269900;3.675;52;2513.0;502;1048;518;37.81;-122.24;5384.142107;551293.4037;730145.0844;60984.57369;17280.2002;0;0;0;1;0
218800;3.225;46;3232.0;835;1373;747;37.81;-122.25;4595.14988;551880.7697;730717.626;61431.20462;16426.69626;0;0;0;1;0
225000;2.9345;42;4120.0;1065;1715;1015;37.8;-122.25;4182.178356;551054.8856;729874.9946;60479.91916;16192.52641;0;0;0;1;0
250000;2.1429;43;2364.0;792;1359;722;37.8;-122.25;4182.178356;551054.8856;729874.9946;60479.91916;16192.52641;0;0;0;1;0
171400;1.6121;41;1471.0;469;1062;413;37.8;-122.25;4182.178356;551054.8856;729874.9946;60479.91916;16192.52641;0;0;0;1;0
193800;1.3929;29;2468.0;864;1335;773;37.8;-122.25;4182.178356;551054.8856;729874.9946;60479.91916;16192.52641;0;0;0;1;0
125000;2.3173;27;1632.0;492;1171;429;37.79;-122.24;4920.813655;549640.7211;728459.0669;59073.10518;16905.88916;0;0;0;1;0
97500;1.7772;45;1786.0;526;1475;460;37.79;-122.25;4042.114695;550230.0064;729033.0822;59534.2018;16032.22786;0;0;0;1;0
125000;2.6458;50;629.0;188;742;196;37.79;-122.25;4042.114695;550230.0064;729033.0822;59534.2018;16032.22786;0;0;0;1;0
138800;2.181;52;1339.0;391;1086;363;37.79;-122.25;4042.114695;550230.0064;729033.0822;59534.2018;16032.22786;0;0;0;1;0
116700;2.2303;36;1678.0;606;1645;543;37.8;-122.25;4182.178356;551054.8856;729874.9946;60479.91916;16192.52641;0;0;0;1;0
151800;1.6504;43;2344.0;647;1710;644;37.8;-122.25;4182.178356;551054.8856;729874.9946;60479.91916;16192.52641;0;0;0;1;0
127000;2.2697;52;996.0;228;731;228;37.8;-122.24;5036.394117;550466.5608;729301.7168;60026.14905;17057.8655;0;0;0;1;0
128600;2.1563;52;1591.0;373;1118;347;37.8;-122.24;5036.394117;550466.5608;729301.7168;60026.14905;17057.8655;0;0;0;1;0
140600;2.1348;52;1586.0;398;1006;335;37.8;-122.24;5036.394117;550466.5608;729301.7168;60026.14905;17057.8655;0;0;0;1;0
182700;2.6292;47;2046.0;588;1213;554;37.8;-122.24;5036.394117;550466.5608;729301.7168;60026.14905;17057.8655;0;0;0;1;0
146900;2.3833;52;1192.0;289;772;257;37.8;-122.23;5897.79929;549879.0785;728729.1159;59581.96122;17924.51112;0;0;0;1;0
122800;2.957;52;1803.0;420;1321;401;37.8;-122.24;5036.394117;550466.5608;729301.7168;60026.14905;17057.8655;0;0;0;1;0
169300;2.5238;49;2838.0;749;1487;677;37.8;-122.24;5036.394117;550466.5608;729301.7168;60026.14905;17057.8655;0;0;0;1;0
126600;1.9375;52;783.0;184;488;186;37.8;-122.23;5897.79929;549879.0785;728729.1159;59581.96122;17924.51112;0;0;0;1;0
127900;1.9028;51;1590.0;414;949;392;37.8;-122.23;5897.79929;549879.0785;728729.1159;59581.96122;17924.51112;0;0;0;1;0
123500;2.25;50;1746.0;480;1149;415;37.8;-122.23;5897.79929;549879.0785;728729.1159;59581.96122;17924.51112;0;0;0;1;0
111900;2.3929;52;1252.0;299;844;280;37.8;-122.23;5897.79929;549879.0785;728729.1159;59581.96122;17924.51112;0;0;0;1;0
112800;2.1917;43;5963.0;1344;4367;1231;37.79;-122.23;5799.521768;549052.2776;727885.7285;58621.63527;17780.05948;0;0;0;1;0
107900;2.9357;52;1783.0;395;1659;412;37.79;-122.23;5799.521768;549052.2776;727885.7285;58621.63527;17780.05948;0;0;0;1;0
137500;1.8854;30;999.0;264;1011;263;37.79;-122.23;5799.521768;549052.2776;727885.7285;58621.63527;17780.05948;0;0;0;1;0
105500;2.1638;39;1469.0;431;1464;389;37.79;-122.24;4920.813655;549640.7211;728459.0669;59073.10518;16905.88916;0;0;0;1;0
95500;2.125;47;1372.0;395;1237;303;37.79;-122.24;4920.813655;549640.7211;728459.0669;59073.10518;16905.88916;0;0;0;1;0
116100;3.375;52;674.0;180;647;168;37.79;-122.24;4920.813655;549640.7211;728459.0669;59073.10518;16905.88916;0;0;0;1;0
112200;2.2542;43;1626.0;376;1284;357;37.79;-122.24;4920.813655;549640.7211;728459.0669;59073.10518;16905.88916;0;0;0;1;0
75000;2.1;51;175.0;43;228;55;37.79;-122.25;4042.114695;550230.0064;729033.0822;59534.2018;16032.22786;0;0;0;1;0
112500;1.6;39;461.0;129;381;123;37.79;-122.25;4042.114695;550230.0064;729033.0822;59534.2018;16032.22786;0;0;0;1;0
125000;3.625;52;902.0;237;846;227;37.79;-122.25;4042.114695;550230.0064;729033.0822;59534.2018;16032.22786;0;0;0;1;0
115000;1.6929;20;2373.0;779;1659;676;37.8;-122.26;3340.671619;551644.05;730448.9479;60943.05749;15328.71514;0;0;0;1;0
95000;1.6471;52;391.0;128;520;138;37.77;-122.22;4226.277699;546812.1704;725626.9742;56260.9184;18577.0997;0;0;0;1;0
96400;2.59;52;1137.0;301;866;259;37.77;-122.22;4226.277699;546812.1704;725626.9742;56260.9184;18577.0997;0;0;0;1;0
72000;2.57;52;769.0;206;612;183;37.77;-122.23;4276.796616;547401.6982;726201.1134;56717.60478;17698.41562;0;0;0;1;0
71300;2.6429;52;472.0;146;415;126;37.78;-122.23;5377.371952;548226.4827;727043.0601;57666.75805;17704.40022;0;0;0;1;0
80800;3.0257;52;862.0;215;994;213;37.78;-122.23;5377.371952;548226.4827;727043.0601;57666.75805;17704.40022;0;0;0;1;0
128800;1.4886;50;1920.0;530;1525;477;37.78;-122.22;5337.285928;547637.9202;726469.661;57217.70869;18582.68533;0;0;0;1;0
112500;1.9338;43;1420.0;472;1506;438;37.78;-122.23;5377.371952;548226.4827;727043.0601;57666.75805;17704.40022;0;0;0;1;0
119400;1.4844;52;986.0;258;1008;255;37.78;-122.23;5377.371952;548226.4827;727043.0601;57666.75805;17704.40022;0;0;0;1;0
118100;1.6009;44;2340.0;825;2813;751;37.78;-122.23;5377.371952;548226.4827;727043.0601;57666.75805;17704.40022;0;0;0;1;0
122500;2.0375;48;1696.0;396;1481;343;37.79;-122.23;5799.521768;549052.2776;727885.7285;58621.63527;17780.05948;0;0;0;1;0
