Median_House_Value,Distance_to_coast,Tot_Rooms,Median_Age,Population,Median_Income
202400,20155.90148,2040.0,38,1775,3.5227
277700,8851.228767,1808.0,45,800,4.8693
252300,6740.253462,495.0,34,269,6.4391
214300,16250.87135,1731.0,25,1127,3.256
77700,65127.33624,2331.0,46,1210,2.5313
255200,28111.34032,3983.0,32,1989,3.5625
217900,24320.16398,2059.0,47,2033,1.9028
196100,5636.318188,3100.0,23,1515,2.8493
150800,6692.955256,2821.0,33,1206,2.5481
201100,32597.52328,1773.0,28,804,4.8571
243800,36336.41949,1088.0,14,601,3.8438
199300,36505.60434,1370.0,31,1062,3.5156
336700,9430.448165,1643.0,37,620,5.4446
121400,105451.6729,3757.0,10,546,3.75
416900,5945.48633,2180.0,52,856,5.3961
275700,19049.98892,2885.0,19,1520,3.375
162500,36434.52655,1925.0,52,2258,1.6921
212900,2557.280269,1169.0,45,723,3.9444
274000,5804.592103,3132.0,39,1200,2.5288
355300,2037.965301,2686.0,52,1392,4.0
420100,7987.557941,2731.0,33,1280,4.7083
176500,19080.88773,2370.0,9,1129,5.143
209800,52972.37929,2784.0,52,957,5.6402
190300,36319.60728,2697.0,16,1462,4.2051
129200,79072.83171,3065.0,8,1440,3.2368
169600,12587.59849,2173.0,16,1460,4.2614
134600,71172.54407,2481.0,29,1188,4.7344
209000,20085.92314,1614.0,35,850,4.1806
181700,23395.59651,4138.0,23,3911,3.0125
220200,7483.217401,4981.0,31,2841,4.8962
137500,4012.371429,1007.0,43,558,1.7348
161500,32634.88178,5568.0,8,3565,3.0795
266100,2953.201383,2472.0,25,1301,5.0699
339300,27196.53569,1858.0,19,790,4.5156
209500,21208.49276,1534.0,31,716,3.4471
131000,16368.00065,2329.0,22,1456,3.7933
414700,4278.590417,2359.0,52,1100,2.8333
148300,65230.87332,898.0,33,470,2.6897
346700,3492.251436,3225.0,18,1463,5.7787
237500,18651.45816,1116.0,48,1610,1.625
94900,14537.36494,973.0,37,842,1.6645
129300,67132.3757,3655.0,5,2316,3.4703
308900,6242.291388,2795.0,29,1469,3.7167
164800,22697.08228,2075.0,35,1312,3.7969
179300,8603.399667,5031.0,21,2461,3.875
65000,28657.71313,1185.0,21,960,2.0893
117300,64946.51245,1499.0,16,1292,4.3851
269300,12864.49258,1520.0,33,658,4.875
112900,16804.72269,2326.0,36,2073,1.9952
231300,6984.344678,1949.0,19,1282,2.7813
98800,18119.53506,1735.0,43,2288,1.9119
140400,14487.74992,2487.0,4,1545,4.9103
310000,5021.396306,647.0,2,203,6.641
435700,3360.120035,1824.0,52,799,3.75
239300,28718.09189,4721.0,14,2648,3.6895
261500,20973.48491,2635.0,17,994,5.8966
111400,71586.78469,2111.0,33,1067,3.7344
132100,24625.31935,428.0,41,585,3.1786
251900,17844.23487,3485.0,15,1740,6.7543
367400,7362.894138,1688.0,39,635,4.5938
398100,5872.921908,3262.0,33,1411,5.316
345700,10803.89321,4259.0,26,1644,6.2519
261400,3881.676339,2269.0,52,1004,5.1696
234900,18449.11639,3233.0,32,1678,5.0025
192600,26913.24186,5762.0,14,3979,3.6953
171000,27150.99459,4129.0,26,1820,4.2586
49500,103712.5055,1787.0,26,1548,1.7188
158200,21326.31084,859.0,39,673,3.7143
193500,19502.72622,2375.0,35,1343,4.53
313100,27738.0912,2951.0,33,1288,4.1554
54300,86840.19956,1945.0,15,515,2.0109
65900,64143.60672,2010.0,34,1501,2.0417
162500,6256.895694,2259.0,35,1340,3.4482
168800,7581.942441,2307.0,50,887,3.5156
74000,30749.121,2809.0,28,1093,2.0962
145800,6910.08794,1583.0,39,857,3.0958
321800,12848.83139,1956.0,16,671,6.4001
183300,68716.6969,508.0,27,263,3.1136
315500,8871.257485,2224.0,27,1594,3.0833
257300,22634.73095,3631.0,18,1700,5.817
375000,58632.66289,256.0,19,101,5.3269
95000,17975.03643,2174.0,49,1861,1.7159
255400,20449.23736,3831.0,12,2258,2.4375
363600,5267.139539,3797.0,52,1633,5.6787
252800,12336.89338,1125.0,42,616,3.6765
248600,60729.35278,3725.0,19,1412,5.7476
290500,38699.13685,4609.0,7,1660,5.0871
161800,23837.31594,1859.0,12,622,5.0258
137200,109468.8875,3660.0,6,1243,3.4911
125000,28771.25351,608.0,44,287,3.3882
135500,73639.60623,1287.0,25,727,4.7396
196900,59246.36387,906.0,31,383,3.4167
75000,68064.09099,48.0,36,27,4.0
432900,8135.460791,1641.0,33,659,6.0884
95800,54651.68913,2083.0,51,874,2.0221
77500,55149.69042,745.0,9,297,3.358
267500,4517.275202,2155.0,37,1082,3.4071
379700,17341.86616,2622.0,34,1233,4.0474
320400,17264.41374,2475.0,21,812,7.2589
165500,9356.749733,831.0,8,740,5.3908
90200,62224.12738,1166.0,35,515,2.3469
342900,19222.72237,1601.0,48,784,3.0642
225000,4090.593018,2528.0,24,2437,2.2746
266400,11715.0728,1913.0,44,1295,3.9537
177900,9576.300464,1415.0,31,874,3.8173
274000,7784.12694,1476.0,18,838,3.575
162400,15583.75635,1580.0,6,792,4.0469
241700,3866.746246,3379.0,28,1849,3.0293
162500,3333.990833,263.0,36,88,2.5313
231300,8855.986348,669.0,27,314,2.4659
83300,56687.84966,852.0,22,461,3.4375
287100,13816.67416,2657.0,43,1145,4.1375
70800,19128.13028,2511.0,46,1583,3.0603
209600,27823.97796,3712.0,15,1888,3.6875
120800,23594.41826,3920.0,16,2612,1.3291
275900,1998.404543,3065.0,52,1405,3.7813
145000,27479.93312,1962.0,26,1236,2.2156
316700,3606.364308,1062.0,28,1058,1.5071
254800,9599.691313,1946.0,36,871,5.2155
218300,45314.28664,3600.0,13,1799,6.2971
246400,2888.376519,3426.0,50,2261,2.888
145700,19513.80107,857.0,41,934,2.6339
92200,85403.01185,1199.0,27,463,2.9063
221000,19082.37253,2077.0,36,1206,2.2326
175900,38889.6509,2769.0,28,2452,2.6071
217700,11950.01094,1594.0,27,1061,4.7917
192100,4234.724999,1895.0,46,920,2.9926
190100,11741.77511,5238.0,18,3032,4.4583
88200,15245.86774,972.0,40,761,1.4688
200000,2520.800595,1751.0,40,1939,1.5394
133300,5457.844221,3317.0,30,1794,1.1835
175700,6957.008023,827.0,28,703,4.4271
174200,10707.71375,3236.0,22,2034,4.0955
147300,69174.13876,2744.0,27,1340,3.8816
161700,36115.30668,1135.0,31,1717,2.1602
137500,12429.3376,1133.0,35,774,2.2381
118300,10262.14739,1179.0,37,354,1.3712
97500,17081.66719,1240.0,43,1100,1.575
292600,26160.12769,1732.0,52,875,4.325
295500,16867.30565,3400.0,16,1575,6.0961
165800,17181.89056,4032.0,44,1622,2.4934
86500,58193.06299,2110.0,30,1301,2.3173
244000,19973.43687,1621.0,52,635,2.5202
55000,20387.73429,1432.0,22,746,2.0227
164600,21094.93861,2127.0,37,2021,2.9773
145500,19386.70846,1615.0,45,823,2.5179
181300,24796.81326,1703.0,13,1823,0.8288
131600,15207.41042,2894.0,8,1566,3.6335
151300,34578.98904,1548.0,37,863,2.9792
90600,13125.67531,117.0,52,74,0.4999
74100,10619.17763,1982.0,31,1052,1.5326
94800,10443.31832,2063.0,21,1686,1.4828
129300,13284.38932,1791.0,16,1006,3.5179
83900,65717.10818,1721.0,30,1878,2.5363
306300,36744.37089,2918.0,34,1435,4.2344
214200,12415.32773,2483.0,16,1357,5.5545
187500,21374.92871,936.0,52,990,1.1122
73700,75600.22858,1336.0,34,1009,1.608
166700,49051.82766,2225.0,42,1544,2.2442
103300,67824.36451,4866.0,17,2371,2.4574
217500,1626.75002,3000.0,20,1207,4.6406
396400,4322.915621,2338.0,34,1031,6.287
183900,26198.54539,2655.0,24,1519,3.3036
193800,80242.28164,819.0,27,451,3.4934
450000,1634.62373,2459.0,24,1362,2.6782
216100,12383.53917,5963.0,12,3015,2.7386
335900,20347.54222,3840.0,28,1883,6.4095
108900,18675.1672,354.0,39,184,2.7679
124700,6448.618559,2366.0,46,1647,2.6042
95000,72037.92609,3938.0,18,1861,3.6484
154600,18533.76503,1128.0,52,450,3.3542
232400,24447.88179,1904.0,26,945,5.6784
215900,33743.85302,5815.0,17,2614,4.3657
132000,13604.74223,2878.0,5,1727,1.7179
321200,3239.96266,2387.0,48,1041,3.7562
113400,100593.567,2864.0,36,1155,2.3571
163900,9498.16577,2203.0,15,1051,4.9783
210500,23177.26553,2830.0,35,1577,5.35
157700,19344.3096,1386.0,46,1845,2.1414
173600,39210.01027,1852.0,35,1414,4.275
167800,22818.60246,1206.0,3,563,5.1589
290900,2105.93687,1877.0,52,712,3.9722
225900,9632.892975,1579.0,45,687,5.0424
166600,7819.24461,1997.0,37,1349,2.1382
75800,80290.10309,2337.0,44,1238,1.5156
236500,93421.87161,2750.0,22,1161,4.2143
102400,4651.90171,2272.0,49,1621,2.4338
175500,11031.13675,2460.0,8,1784,4.5662
295500,40149.48574,2676.0,46,1022,6.4288
280600,3988.41445,1257.0,43,671,2.875
172800,21326.31084,2263.0,33,1626,3.5556
135400,26926.25921,796.0,18,547,1.0333
267600,24871.45622,2621.0,32,1285,6.6537
180100,14717.22628,2183.0,47,927,4.9531
231600,14783.4144,2637.0,32,1031,3.6474
113600,3108.150547,1991.0,32,1139,2.0353
218800,18959.74524,2173.0,28,2548,1.879
205100,6978.989752,4586.0,26,3680,4.174
190500,18935.7421,2378.0,35,1799,3.9327
108300,87147.2298,1417.0,20,853,3.3083
279200,14699.10009,2233.0,24,1162,5.6094
241900,30392.38471,2850.0,6,2160,5.5336
128000,4680.44361,1571.0,42,1631,1.6384
88900,3817.063385,2103.0,46,1339,2.2467
218200,9079.170083,1742.0,36,857,4.6875
166400,56230.43467,2621.0,35,1074,4.7176
364500,17072.17634,3977.0,26,1720,3.358
427300,4077.827225,3771.0,52,1575,3.5655
212900,70902.52776,2926.0,19,1349,4.6437
442100,2049.144009,3851.0,32,1456,4.5208
241400,22347.68874,1753.0,29,1318,4.125
290900,22914.84198,5094.0,13,2230,6.4823
235600,11091.37436,1043.0,33,425,4.8702
253000,4796.801859,3586.0,32,2249,3.1058
83100,24638.95376,2549.0,25,2053,2.0875
97900,5536.67934,2846.0,52,1519,2.1976
59100,24926.69684,2488.0,37,1854,2.551
126500,60114.52772,5284.0,3,2703,4.0717
150700,14612.74329,1956.0,36,1672,1.8685
251100,19371.23539,1514.0,27,1603,2.8971
262000,4093.29062,2085.0,46,748,4.0536
177500,8507.673597,2677.0,14,1288,6.0497
262000,10410.33167,2814.0,18,1439,3.599
127700,22275.61396,2094.0,28,1556,2.2
211000,7745.191234,5381.0,14,2296,5.6875
